"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\StepsIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\TrophyIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\UsersIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\UsersMoreIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\WalletIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\WaterNeedIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\DarkModeProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 8, 38
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\DietProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 390, 0, 0, 10, 16, 416
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\MainNavProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\MealProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 17, 85
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\SocketProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 1, 9, 42
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\UserProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\SystemUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\trainees\SystemTrainees.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\trainees\SystemTraineesTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 2, 4, 45
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\trainees\SystemTraineesTableRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 17, 5, 81
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\trainers\SystemTrainers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\trainers\SystemTrainersTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\trainers\SystemTrainersTableRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 21, 2, 79
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\system users\useGetSystemUsers.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\PendingTrainerCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\PendingTrainers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\PendingTrainerInfoBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 3, 110
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\TrainerReviewProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\personal information\PendingTrainerPersonalInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\personal information\PendingTrainerPersonalInfoForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 1, 8, 125
